datetime,close,high_^vix,low_^vix,open_^vix,volume_^vix,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2022-10-24,29.850000381469727,30.950000762939453,29.780000686645508,30.649999618530273,0,,,,False,False,False,False,False,False,False
2022-10-25,28.459999084472656,30.0,28.219999313354492,29.799999237060547,0,,,,False,False,False,False,False,False,False
2022-10-26,27.280000686645508,28.520000457763672,27.270000457763672,28.440000534057617,0,,,,False,False,False,False,False,False,False
2022-10-27,27.389999389648438,27.670000076293945,26.940000534057617,27.510000228881836,0,,,,False,False,False,False,False,False,False
2022-10-28,25.75,27.59000015258789,25.75,27.43000030517578,0,,,,False,False,False,False,False,False,False
2022-10-31,25.8799991607666,27.06999969482422,25.84000015258789,26.90999984741211,0,,,,False,False,False,False,False,False,False
2022-11-01,25.809999465942383,26.350000381469727,25.65999984741211,25.959999084472656,0,,,,False,False,False,False,False,False,False
2022-11-02,25.860000610351562,26.6200008392334,25.389999389648438,26.040000915527344,0,,,,False,False,False,False,False,False,False
2022-11-03,25.299999237060547,26.8700008392334,25.100000381469727,25.979999542236328,0,,,,False,False,False,False,False,False,False
2022-11-04,24.549999237060547,25.709999084472656,24.0,25.6299991607666,0,26.612999725341798,23.387268774560095,29.8387306761235,False,False,False,False,False,False,False
2022-11-07,24.350000381469727,25.670000076293945,24.34000015258789,25.670000076293945,0,26.40727251226252,23.056593723866342,29.757951300658696,False,False,False,False,False,False,False
2022-11-08,25.540000915527344,26.15999984741211,24.239999771118164,24.709999084472656,0,26.334999879201252,23.1012516527535,29.568748105649004,False,False,False,False,False,False,False
2022-11-09,26.09000015258789,26.350000381469727,25.020000457763672,25.34000015258789,0,26.316153746384842,23.21709429515337,29.415213197616314,False,False,False,False,False,False,False
2022-11-10,23.530000686645508,26.59000015258789,22.84000015258789,26.510000228881836,0,26.117142813546316,22.78798572920816,29.446299897884472,False,False,False,False,False,False,False
2022-11-11,22.520000457763672,23.90999984741211,22.3700008392334,23.889999389648438,0,25.87733332316081,22.170294202313332,29.584372444008284,False,False,False,False,False,False,False
2022-11-14,23.729999542236328,24.329999923706055,22.860000610351562,23.989999771118164,0,25.743124961853027,22.004307363698643,29.48194256000741,False,False,False,False,False,False,False
2022-11-15,24.540000915527344,26.219999313354492,23.18000030517578,23.770000457763672,0,25.672352959127988,22.005518532692484,29.33918738556349,False,False,False,False,False,False,False
2022-11-16,24.110000610351562,24.719999313354492,23.989999771118164,24.290000915527344,0,25.585555606418186,21.952762622972763,29.21834858986361,False,False,False,False,False,False,False
2022-11-17,23.93000030517578,25.18000030517578,23.809999465942383,24.049999237060547,0,25.49842111687911,21.88718423899616,29.109657994762063,False,False,False,False,False,False,False
2022-11-18,23.1200008392334,24.1200008392334,22.979999542236328,24.030000686645508,0,25.379500102996825,21.707165927368166,29.051834278625485,False,False,False,False,False,False,False
2022-11-21,22.360000610351562,24.1200008392334,22.299999237060547,24.049999237060547,0,25.005000114440918,21.748082568475915,28.26191766040592,False,False,False,False,False,False,False
2022-11-22,21.290000915527344,22.709999084472656,21.280000686645508,22.59000015258789,0,24.646500205993654,21.412488878713297,27.88051153327401,True,False,False,True,False,True,False
2022-11-23,20.350000381469727,21.780000686645508,20.31999969482422,21.489999771118164,0,24.300000190734863,20.78154419689781,27.818456184571918,True,False,False,True,False,True,False
2022-11-25,20.5,21.110000610351562,20.459999084472656,20.610000610351562,0,23.955500221252443,20.36249293139715,27.548507511107736,False,False,False,False,False,False,False
2022-11-28,22.209999084472656,22.5,21.649999618530273,22.09000015258789,0,23.778500175476076,20.209008216431283,27.34799213452087,False,False,False,False,False,False,False
2022-11-29,21.889999389648438,22.56999969482422,21.829999923706055,22.09000015258789,0,23.579000186920165,20.058378879874187,27.099621493966144,False,False,False,False,False,False,False
2022-11-30,20.579999923706055,22.6299991607666,20.309999465942383,21.700000762939453,0,23.31750020980835,19.71854777811981,26.916452641496893,False,False,False,False,False,False,False
2022-12-01,19.84000015258789,21.059999465942383,19.799999237060547,20.829999923706055,0,23.016500186920165,19.307596065555014,26.725404308285317,False,False,False,False,False,False,False
2022-12-02,19.059999465942383,20.959999084472656,18.950000762939453,20.420000076293945,0,22.704500198364258,18.761925387861407,26.64707500886711,False,False,False,False,False,False,False
2022-12-05,20.75,21.290000915527344,19.780000686645508,20.299999237060547,0,22.514500236511232,18.580151865093995,26.44884860792847,False,False,False,False,False,False,False
2022-12-06,22.170000076293945,22.600000381469727,20.3799991607666,20.690000534057617,0,22.405500221252442,18.565606835310103,26.24539360719478,False,False,False,False,False,False,False
2022-12-07,22.68000030517578,23.010000228881836,22.18000030517578,22.31999969482422,0,22.262500190734862,18.711992849900284,25.81300753156944,False,False,False,False,False,False,False
2022-12-08,22.290000915527344,23.280000686645508,22.059999465942383,22.809999465942383,0,22.072500228881836,19.011437911936184,25.133562545827488,False,False,False,False,False,False,False
2022-12-09,22.829999923706055,23.209999084472656,22.18000030517578,22.549999237060547,0,22.037500190734864,19.031086518041842,25.043913863427886,False,False,False,False,False,False,False
2022-12-12,25.0,25.049999237060547,24.18000030517578,24.399999618530273,0,22.16150016784668,18.879361462362503,25.443638873330855,False,False,False,False,False,False,False
2022-12-13,22.549999237060547,25.84000015258789,21.459999084472656,25.239999771118164,0,22.10250015258789,18.897563664409038,25.307436640766742,False,False,False,False,False,False,False
2022-12-14,21.139999389648438,23.469999313354492,21.06999969482422,22.829999923706055,0,21.932500076293945,18.91685029125536,24.948149861332528,False,False,False,False,False,False,False
2022-12-15,22.829999923706055,23.670000076293945,21.25,21.520000457763672,0,21.86850004196167,18.996520730501647,24.740479353421694,False,False,False,False,False,False,False
2022-12-16,22.6200008392334,23.829999923706055,22.09000015258789,23.260000228881836,0,21.803000068664552,19.07272440419641,24.533275733132694,False,False,False,False,False,False,False
2022-12-19,22.420000076293945,22.860000610351562,21.610000610351562,22.6299991607666,0,21.768000030517577,19.09139091703608,24.444609143999074,False,False,False,False,False,False,False
2022-12-20,21.479999542236328,23.389999389648438,21.350000381469727,23.170000076293945,0,21.723999977111816,19.05946161891244,24.388538335311193,False,False,False,False,False,False,False
2022-12-21,20.06999969482422,21.290000915527344,19.940000534057617,21.25,0,21.66299991607666,18.902495624030482,24.42350420812284,False,False,False,False,False,False,False
2022-12-22,21.969999313354492,24.299999237060547,20.010000228881836,20.079999923706055,0,21.743999862670897,19.051480605230655,24.43651912011114,False,False,False,False,False,False,False
